1,2,1
1,15,1
2,3,1
2,16,1
3,17,1
3,4,1
4,18,1
4,5,1
5,19,1
5,6,1
6,20,1
6,7,1
7,21,1
7,8,1
8,22,1
8,9,1
9,23,1
9,10,1
10,24,1
10,11,1
11,25,1
11,12,1
12,26,1
12,13,1
13,14,1
14,28,1
15,16,1
15,29,1
16,17,1
16,30,1
17,18,1
18,19,1
18,32,1
20,19,1
20,34,1
20,21,1
19,33,1
21,35,1
21,22,1
22,23,1
23,24,1
23,37,1
24,25,1
25,26,1
26,27,1
13,27,1
27,41,1
28,42,1
29,30,1
29,43,1
31,30,1
31,32,1
31,45,1
32,33,1
32,46,1
33,34,1
34,35,1
34,47,1
35,49,1
37,51,1
36,35,1
36,37,1
36,50,1
38,37,1
38,39,1
38,52,1
39,40,1
39,53,1
40,41,1
40,54,1
41,55,1
44,58,1
46,47,1
46,60,1
42,41,1
42,56,1
43,44,1
43,57,1
45,44,1
45,46,1
48,47,1
48,49,1
48,62,1
49,63,1
45,59,1
50,49,1
50,51,1
50,64,1
51,52,1
51,65,1
54,55,1
54,68,1
55,69,1
58,72,1
52,51,1
52,53,1
52,66,1
53,54,1
53,67,1
56,55,1
56,70,1
57,58,1
57,71,1
59,58,1
59,60,1
59,73,1
60,74,1
63,77,1
65,66,1
65,79,1
68,69,1
69,83,1
61,60,1
61,62,1
61,75,1
62,63,1
62,76,1
64,63,1
64,65,1
64,78,1
66,65,1
66,67,1
66,80,1
67,68,1
67,81,1
70,69,1
70,84,1
71,85,1
71,72,1
72,86,1
74,75,1
75,89,1
75,76,1
76,77,1
77,91,1
73,72,1
73,74,1
73,87,1
78,77,1
78,79,1
78,92,1
80,79,1
80,81,1
80,94,1
81,82,1
81,95,1
82,83,1
82,96,1
83,84,1
83,97,1
86,100,1
89,103,1
84,83,1
84,98,1
85,86,1
87,86,1
87,88,1
87,101,1
88,89,1
88,102,1
90,89,1
90,91,1
90,104,1
92,91,1
92,93,1
92,106,1
94,93,1
94,95,1
94,108,1
98,97,1
98,112,1
99,100,1
99,113,1
101,100,1
101,102,1
101,115,1
103,117,1
104,118,1
105,119,1
106,120,1
107,121,1
108,107,1
108,122,1
108,109,1
109,110,1
109,123,1
110,124,1
110,111,1
112,111,1
112,126,1
113,114,1
113,127,1
115,114,1
115,116,1
115,129,1
117,116,1
117,131,1
117,118,1
118,119,1
118,132,1
119,120,1
113,133,1
120,121,1
120,134,1
121,122,1
121,135,1
122,123,1
122,136,1
123,124,1
123,137,1
126,125,1
126,140,1
127,128,1
128,142,1
129,143,1
130,144,1
131,145,1
132,146,1
133,147,1
134,148,1
135,149,1
136,150,1
137,151,1
138,152,1
139,153,1
140,154,1
91,105,1
93,107,1
95,96,1
96,97,1
97,111,1
100,114,1
102,116,1
102,103,1
103,104,1
104,105,1
105,106,1
106,107,1
111,125,1
114,128,1
116,130,1
124,125,1
124,138,1
125,139,1
128,129,1
129,130,1
130,131,1
131,132,1
131,145,1
132,133,1
133,134,1
134,135,1
135,136,1
136,137,1
137,138,1
138,139,1
139,140,1
