16,17,1
16,30,1
17,18,1
18,19,1
18,32,1
5,19,1
19,33,1
21,35,1
21,22,1
22,23,1
23,24,1
23,37,1
24,25,1
25,26,1
26,27,1
13,27,1
27,41,1
30,44,1
32,33,1
32,46,1
33,34,1
34,35,1
34,47,1
35,49,1
37,51,1
41,55,1
44,58,1
46,47,1
46,60,1
51,52,1
51,52,1
51,65,1
52,66,1
54,55,1
54,68,1
55,69,1
58,72,1
60,74,1
49,63,1
63,77,1
65,66,1
65,79,1
68,69,1
69,83,1
71,72,1
72,86,1
74,75,1
75,89,1
75,76,1
76,77,1
77,91,1
79,93,1
83,84,1
83,97,1
86,100,1
89,103,1
91,105,1
93,107,1
95,96,1
96,97,1
97,111,1
100,114,1
102,116,1
102,103,1
103,104,1
104,105,1
105,106,1
106,107,1
107,121,1
121,135,1
111,125,1
114,128,1
116,130,1
124,125,1
124,138,1
125,139,1
128,129,1
129,130,1
130,131,1
131,132,1
131,145,1
132,133,1
133,134,1
134,135,1
135,136,1
136,137,1
137,138,1
138,139,1
139,140,1
